Latin name,Trophic Level,Medium,Taxonomic kingdom,Taxonomic phylum or division,Taxonomic subphylum,Taxonomic superclass,Taxonomic class,Taxonomic order,Taxonomic family
Chaetogammarus marinus,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Amphipoda,Gammaridae
Eurytemora affinis,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Maxillopoda,Calanoida,Temoridae
Amphiura filiformis,INVERT,Saltwater,Animalia,Echinodermata,Eleutherozoa,,Ophiuroidea,Ophiurida,Amphiuridae
Ophryotrocha diadema,INVERT,Saltwater,Animalia,Annelida,,,Polychaeta,Aciculata,Dorvilleidae
Diacyclops thomasi,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Maxillopoda,Cyclopoida,Cyclopidae
Agonus cataphractus,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Scorpaeniformes,Agonidae
Carcinus maenas,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Portunidae
Xenopus laevis,AMPHIB,Freshwater,Animalia,Chordata,Vertebrata,,Amphibia,Anura,Pipidae
Rana pipiens,AMPHIB,Freshwater,Animalia,Chordata,Vertebrata,,Amphibia,Anura,Ranidae
Daphnia similis,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Diplostraca,Daphniidae
Poecilia latipinna,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cyprinodontiformes,Poeciliidae
Ampelisca abdita,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Amphipoda,Ampeliscidae
Rhepoxynius abronius,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Amphipoda,Phoxocephalidae
Ankistrodesmus falcatus,ALGAE,Freshwater,Plantae,Chlorophyta,,,Chlorophyceae,Chlorococcales,Oocystaceae
Notropis atherinoides,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Chlamydomonas eugametos,ALGAE,Freshwater,Plantae,Chlorophyta,,,Chlorophyceae,Volvocales,Chlamydomonadaceae
Anacystis nidulans,ALGAE,Freshwater,Monera,Cyanophycota,,,Cyanophyceae,Chroococcales,Chroococcaceae
Scylla serrata,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Portunidae
Lampetra tridentata,FISH,Freshwater,Animalia,Chordata,,,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae
Daphnia cucullata,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Diplostraca,Daphniidae
Asellus intermedius,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Isopoda,Asellidae
Helisoma trivolvis,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Basommatophora,Planorbidae
Planorbella trivolvis,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Basommatophora,Planorbidae
Chlorococcum sp,ALGAE,Freshwater,Plantae,Chlorophyta,,,Chlorophyceae,Chlorococcales,Chlorococcaceae
Tanypus neopunctipennis,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Chironomidae
Einfeldia natchitocheae,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Chironomidae
Clinotanypus pinguis,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Chironomidae
Corixa punctata,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Heteroptera,Corixidae
Chironomus thummi,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Chironomidae
Ischnura elegans,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Odonata,Coenagrionidae
Nemoura cinerea,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Plecoptera,Nemouridae
Hydra oligactis,INVERT,Freshwater,Animalia,Cnidaria,,,Hydrozoa,Hydroida,Hydridae
Ambystoma mexicanum,AMPHIB,Freshwater,Animalia,Chordata,Vertebrata,,Amphibia,Caudata,Ambystomatidae
Anadara granosa,INVERT,Saltwater,Animalia,Mollusca,,,Bivalvia,Arcoida,Arcidae
Physa virgata,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Basommatophora,Physidae
Abramis brama,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Barilius bendelisis,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Syngnathus fuscus,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Gasterosteiformes,Syngnathidae
Heterobranchus longifilis,FISH,Freshwater,Animalia,Chordata,,,Actinopterygii,Siluriformes,Clariidae
Moina sp,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Cladocera,Moinidae
Clupea harengus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Clupeiformes,Clupeidae
Liza parsia,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Mugiliformes,Mugilidae
Liza vaigiensis,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Mugiliformes,Mugilidae
Silurus glanis,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Siluriformes,Siluridae
Gymnocephalus cernuus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Characiformes,Characidae
Nuria danrica,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Synechococcus elongatus,ALGAE,Freshwater,Monera,Cyanophycota,,,Cyanophyceae,Chroococcales,Chroococcaceae
Cylindrospermum sp,ALGAE,Freshwater,Monera,Cyanophycota,,,Cyanophyceae,Nostocales,Nostocaceae
Macoma nasuta,INVERT,Saltwater,Animalia,Mollusca,,,Bivalvia,Veneroida,Tellinidae
Gila elegans,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Cloeon sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Ephemeroptera,Baetidae
Palaemon serratus,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Palaemonidae
Procambarus simulans,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Cambaridae
Mystus tengara,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Siluriformes,Bagridae
Monostyla quadridentata,INVERT,Freshwater,Animalia,Rotifera,,,Monogononta,Ploima,Lecanidae
Xyrauchen texanus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Catostomidae
Etheostoma rubrum,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Percidae
Etheostoma lepidum,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Percidae
Scaphirhynchus platorynchus,FISH,Freshwater,Animalia,Chordata,,,Actinopterygii,Acipenseriformes,Acipenseridae
Poeciliopsis occidentalis,FISH,Freshwater,Animalia,Chordata,,,Actinopterygii,Cyprinidontiformes,Poeciliidae
Acipenser oxyrhynchus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Acipenseriformes,Acipenseridae
Acipenser brevirostrum,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Acipenseriformes,Acipenseridae
Etheostoma fonticola,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Percidae
Oncorhynchus gilae ssp apache,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae
Oncorhynchus clarkii ssp. stomias,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae
Oncorhynchus clarkii ssp henshawi,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae
Erimonax monachus,FISH,Freshwater,Animalia,Chordata,Vertebrata,,Actinopterygii,Cypriniformes,Cyprinidae
Notropis mekistocholas,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Cyprinodon bovinus,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cyprinodontiformes,Cyprinodontidae
Cyprinodon macularius,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cyprinodontiformes,Cyprinodontidae
Microcystis flosaquae,ALGAE,Freshwater,Monera,Cyanophycota,,,Cyanophyceae,Chroococcales,Chroococcaceae
Scenedesmus acutus var. acutus,ALGAE,Freshwater,Plantae,Chlorophyta,,,Chlorophyceae,Chlorococcales,Scenedesmaceae
Paramecium multimicronucleatum,INVERT,Freshwater,Animalia,Ciliophora,,,Ciliatea,Hymenostomatida,Parameciidae
Paramecium caudatum,INVERT,Freshwater,Animalia,Ciliophora,,,Ciliatea,Hymenostomatida,Parameciidae
Paramecium bursaria,INVERT,Freshwater,Animalia,Ciliophora,,,Ciliatea,Hymenostomatida,Parameciidae
Paramecium aurelia,INVERT,Freshwater,Animalia,Ciliophora,,,Ciliatea,Hymenostomatida,Parameciidae
Paratelphusa masoniana,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Parathelphusidae
Barbus stigma,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Salmo trutta ssp. fario,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae
Pontoporeia hoyi,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Amphipoda,Haustoriidae
Rana tigrina,AMPHIB,Freshwater,Animalia,Chordata,Vertebrata,,Amphibia,Anura,Ranidae
Macrobrachium dayanum,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Palaemonidae
Ceriodaphnia sp,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Diplostraca,Daphniidae
Scapholeberis sp,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Diplostraca,Daphniidae
Daphnia obtusa,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Diplostraca,Daphniidae
Leptodora kindtii,INVERT,Freshwater,Animalia,Arthropoda,,,Branchiopoda,Diplostraca,Leptotoridae
Bosmina fatalis,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Diplostraca,Bosminidae
Ranatra elongata,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Heteroptera,Nepidae
Mystus cavasius,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Siluriformes,Bagridae
Leuciscus cephalus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Chlorella sp,ALGAE,Freshwater,Plantae,Chlorophyta,,,Chlorophyceae,Chlorococcales,Oocystaceae
Nitzschia angularis,ALGAE,Freshwater,Chromista,Bacillariophyta,,,Bacillariophyceae,Pennales,Bacillariaceae
Nitzschia angularis var affinis,ALGAE,Freshwater,Chromista,Bacillariophyta,,,Bacillariophyceae,Pennales,Bacillariaceae
Cambarus bartonii,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Cambaridae
Cyprinus carpio ssp. communis,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Hyalella curvispina,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Amphipoda,Hyalellidae
Orconectes virilis,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Cambaridae
Lampsilis siliquoidea,INVERT,Freshwater,Animalia,Mollusca,,,Bivalvia,Unionoida,Unionidae
Daphnia ambigua,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Diplostraca,Daphniidae
Pavlova lutheri,ALGAE,Saltwater,Plantae,Chrysophyta,,,Chrysophyceae,Ochromonadales,Ochromonadaceae
Navicula seminulum,ALGAE,Freshwater,Chromista,Bacillariophyta,,,Bacillariophyceae,Pennales,Naviculaceae
Branchiura sowerbyi,INVERT,Freshwater,Animalia,Annelida,,,Oligochaeta,Haplotaxida,Tubificidae
Limanda limanda,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Pleuronectiformes,Pleuronectidae
Hyla crucifer,AMPHIB,Freshwater,Animalia,Chordata,Vertebrata,,Amphibia,Anura,Hylidae
Nitzschia pungens,ALGAE,Saltwater,Chromista,Ochrophyta,Khakista,,Bacillariophyceae,Baccillariales,Bacillariaceae
Arbacia punctulata,INVERT,Saltwater,Animalia,Echinodermata,Echinozoa,,Echinoidea,Arbacioida,Arbaciidae
Simocephalus vetulus,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Diplostraca,Daphniidae
Paratanytarsus parthenogeneti,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Chironomidae
Synechococcus sp,ALGAE,Freshwater,Monera,Cyanophycota,,,Cyanophyceae,Chroococcales,Chroococcaceae
Anabaena cylindrica,ALGAE,Freshwater,Monera,Cyanophycota,,,Cyanophyceae,Nostocales,Nostocaceae
Mugil curema,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Mugiliformes,Mugilidae
Katelysia opima,INVERT,Saltwater,Animalia,Mollusca,,,Bivalvia,Veneroida,Veneridae
Diaptomus forbesi,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Maxillopoda,Calanoida,Diaptomidae
Engraulis mordax,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Clupeiformes,Engraulidae
Clupea pallasi,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Clupeiformes,Clupeidae
Ictalurus natalis,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Siluriformes,Ictaluridae
Clarias lazera,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Siluriformes,Clariidae
Rana sphenocephala,AMPHIB,Freshwater,Animalia,Chordata,Vertebrata,,Amphibia,Anura,Ranidae
Acris crepitans,AMPHIB,Freshwater,Animalia,Chordata,Vertebrata,,Amphibia,Anura,Hylidae
Acroneuria sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Plecoptera,Perlidae
Atherix variegata,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Athericidae
Pimephales notatus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Hydra attenuata,INVERT,Freshwater,Animalia,Cnidaria,,,Hydrozoa,Hydroida,Hydridae
Coregonus lavaretus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae
Coregonus peled,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae
Stizostedion lucioperca,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Percidae
Sander lucioperca,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Percidae
Oncorhynchus keta,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae
Pandalus platyceros,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Pandalidae
Tresus nuttalli,INVERT,Saltwater,Animalia,Mollusca,,,Bivalvia,Veneroida,Mactridae
Protothaca staminea,INVERT,Saltwater,Animalia,Mollusca,,,Bivalvia,Veneroida,Veneridae
Tresus capax,INVERT,Saltwater,Animalia,Mollusca,,,Bivalvia,Veneroida,Mactridae
Physella elliptica,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Basommatophora,Physidae
Lymnaea palustris,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Basommatophora,Lymnaeidae
Notropis hudsonius,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Coregonus clupeaformis,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae
Stenacron interpunctatum,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Ephemeroptera,Heptageniidae
Asellus communis,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Isopoda,Asellidae
Brevoortia tyrannus,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Clupeiformes,Clupeidae
Spirulina platensis,ALGAE,Freshwater,Monera,Cyanophycota,,,Cyanophyceae,Nostocales,Oscillatoriaceae
Dicentrarchus labrax,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Moronidae
Rasbora trilineata,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Barbus sharpeyi,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Esomus danricus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Notropis anogenus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Elliptio buckleyi,INVERT,Freshwater,Animalia,Mollusca,,,Bivalvia,Unionoida,Unionidae
Callinectes sapidus,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Portunidae
Radix natalensis,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Basommatophora,Lymnaeidae
Elminius modestus,INVERT,Saltwater,Animalia,Arthropoda,,,Maxillopoda,Sessilia,Balanidae
Temora longicornis,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Maxillopoda,Calanoida,Temoridae
Adineta vaga,INVERT,Freshwater,Animalia,Rotifera,,,Eurotifera,Bdelloidea,Adentiidae
Psammechinus miliaris,INVERT,Saltwater,Animalia,Echinodermata,Echinozoa,,Echinoidea,Echinoida,Echinidae
Acartia pacifica,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Maxillopoda,Calanoida,Acartiidae
Macrobrachium nipponense,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Palaemonidae
Oithona similis,INVERT,Freshwater,Animalia,Arthropoda,,,Maxillopoda,Cyclopoidea,Oithonidae
Pseudodiaptomus inopinus,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Maxillopoda,Calanoida,Pseudodiaptomidae
Pseudorasbora parva,FISH,Freshwater,Animalia,Chordata,,,Actinopterygii,Cypriniformes,Cyprinidae
Ruditapes philippinarum,INVERT,Saltwater,Animalia,Mollusca,,,Bivalvia,Veneroida,Veneridae
Tigriopus japonicus,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Maxillopoda,Harpacticoida,Harpacticidae
Potamopyrgus antipodarum,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Neotaenioglossa,Hydrobiidae
Xiphophorus helleri,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cyprinodontiformes,Poeciliidae
Marisa cornuarietis,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Architaenioglossa,Ampullariidae
Artemia sinica,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Anostraca,Artemiidae
Brachionus koreanus,INVERT,Freshwater,Animalia,Rotifera,,,Monogononta,Ploima,Brachionidae
Paratanytarsus sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Chironomidae
Cypridopsis sp,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Ostracoda,Podocopa,Cypridopsidae
Hydropsyche sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Trichoptera,Hydropsychidae
Gyrinus sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Coleoptera,Gyrinidae
Macromia sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Odonata,Corduliidae
Catenula sp,INVERT,Freshwater,Animalia,Platyhelminthes,,,Turbellaria,Catenulida,Catenulidae
Elimia catenaria,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Neotaenioglossa,Pleuroceridae
Elliptio complanata,INVERT,Freshwater,Animalia,Mollusca,,,Bivalvia,Unionoida,Unionidae
Popenaias buckleyi,INVERT,Freshwater,Animalia,Mollusca,,,Bivalvia,Unionoida,Unionidae
Physa sp,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Basommatophora,Physidae
Helisoma sp,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Basommatophora,Planorbidae
Oxytrema catenaria,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,,Pleuroceridae
Physa pomilia,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Basommatophora,Physidae
Catostomus catostomus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Catostomidae
Amia calva,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Amiiformes,Amiidae
Ctenopharyngodon idella,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Tilapia sparrmanii,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Cichlidae
Tilapia melanopleura,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Cichlidae
Barbus anoplus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Barbus natalensis,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Barbus gurneyi,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Basiaeschna janata,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Odonata,Aeshnidae
Dunaliella bioculata,ALGAE,Saltwater,Plantae,Chlorophyta,,,Chlorophyceae,Volvocales,Dunaliellaceae
Gymnodinium breve,ALGAE,Saltwater,Plantae,Pyrrophycophyta,,,Dinophyceae,Gymnodiniales,Gymnodiniaceae
Corophium acherusicum,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Amphipoda,Corophiidae
Laevicardium mortoni,INVERT,Saltwater,Animalia,Mollusca,,,Bivalvia,Veneroida,Cardiidae
Armandia maculata,INVERT,Saltwater,Animalia,Annelida,,,Polychaeta,Palpata,Opheliidae
Leptosynapta inhaerens,INVERT,Saltwater,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Apodida,Synaptidae
Hyalella sp,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Amphipoda,Hyalellidae
Pomacea paludosa,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Architaenioglossa,Ampullariidae
Chlamydomonas moewusii,ALGAE,Freshwater,Plantae,Chlorophyta,,,Chlorophyceae,Volvocales,Chlamydomonadaceae
Poecilia mexicana,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cyprinodontiformes,Poeciliidae
Cypria sp,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Ostracoda,Podocopida,Cyprididae
Eucyclops sp,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Maxillopoda,Cyclopoida,Cyclopidae
Navicula sp,ALGAE,Freshwater,Chromista,Bacillariophyta,,,Bacillariophyceae,Pennales,Naviculaceae
Ochromonas danica,ALGAE,Freshwater,Plantae,Chrysophyta,,,Chrysophyceae,Ochromonadales,Ochromonadaceae
Cryptomonas ozolini,ALGAE,Freshwater,Plantae,Cryptophycophyta,,,Cryptophyceae,Cryptomonadales,Cryptomonadaceae
Anacystis aeruginosa,ALGAE,Freshwater,Monera,Cyanophycota,,,Cyanophyceae,Chroococcales,Chroococcaceae
Euglena gracilis,ALGAE,Freshwater,Plantae,Euglenophycota,,,Euglenophyceae,Euglenales,Euglenaceae
Oithona davisae,INVERT,Freshwater,Animalia,Arthropoda,,,Maxillopoda,Cyclopoidea,Oithonidae
Paralichthys olivaceus,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Pleuronectiformes,Bothidae
Gammarus minus,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Amphipoda,Gammaridae
Scenedesmus acuminatus,ALGAE,Freshwater,Plantae,Chlorophyta,,,Chlorophyceae,Chlorococcales,Scenedesmaceae
Cymatogaster aggregata,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Embiotocidae
Pleuronectes vetulus,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Pleuronectiformes,Pleuronectidae
Parophrys vetulus,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Pleuronectiformes,Pleuronectidae
Penaeus monodon,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Penaeidae
Pseudacris regilla,AMPHIB,Freshwater,Animalia,Chordata,Vertebrata,,Amphibia,Anura,Hylidae
Chara sp,ALGAE,Freshwater,Plantae,Charophyta,,,Charophyceae,Charales,Characeae
Cyclotella meneghiniana,ALGAE,Freshwater,Chromista,Bacillariophyta,,,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae
Cyprinus sp,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Pavlova sp,ALGAE,Saltwater,Plantae,Chrysophyta,,,Chrysophyceae,Ochromonadales,Ochromonadaceae
Crepidula fornicata,INVERT,Saltwater,Animalia,Mollusca,,,Gastropoda,Neotaenioglossa,Calyptraeidae
Palaemonetes varians,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Palaemonidae
Pteronarcys dorsata,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Plecoptera,Pteronarcyidae
Dinophilus gyrociliatus,INVERT,Saltwater,Animalia,Annelida,,,Polychaeta,Aciculata,Dorvilleidae
Alosa sapidissima,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Clupeiformes,Clupeidae
Lymnaea luteola,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Basommatophora,Lymnaeidae
Rasbora daniconius neilgeriensis,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
